"fk_table_schema","fk_table_name","fk_column_name","pk_table_schema","pk_table_name","pk_column_name","fk_constraint_name"
"public","advertising_connections","client_id","public","clients","client_id","advertising_connections_client_id_fkey"
"public","clients","created_by_user_id","public","users","user_id","clients_created_by_user_id_fkey"
"public","clients","created_by_user_id","public","users","user_id","fk_creator_user"
"public","crm_connections","write_key","public","write_keys","write_key","crm_connections_write_key_fkey"
"public","crm_connections","client_id","public","clients","client_id","crm_connections_client_id_fkey"
"public","event_properties","event_id","public","events","event_id","event_properties_event_id_fkey"
"public","event_properties","property_id","public","properties","property_id","event_properties_property_id_fkey"
"public","expense_categories","client_id","public","clients","client_id","expense_categories_client_id_fkey"
"public","expense_categories","created_by_user_id","public","users","user_id","expense_categories_created_by_user_id_fkey"
"public","fixed_expenses","write_key","public","write_keys","write_key","fixed_expenses_write_key_fkey"
"public","fixed_expenses","updated_by_user_id","public","users","user_id","fixed_expenses_updated_by_user_id_fkey"
"public","fixed_expenses","category_id","public","expense_categories","category_id","fixed_expenses_category_id_fkey"
"public","fixed_expenses","created_by_user_id","public","users","user_id","fixed_expenses_created_by_user_id_fkey"
"public","fixed_expenses","client_id","public","clients","client_id","fixed_expenses_client_id_fkey"
"public","payment_gateway_settings","client_id","public","clients","client_id","payment_gateway_settings_client_id_fkey"
"public","payment_gateway_settings","created_by_user_id","public","users","user_id","payment_gateway_settings_created_by_user_id_fkey"
"public","payment_gateway_settings","updated_by_user_id","public","users","user_id","payment_gateway_settings_updated_by_user_id_fkey"
"public","payment_gateway_settings","write_key","public","write_keys","write_key","payment_gateway_settings_write_key_fkey"
"public","periscope_event_destinations","write_key_event_id","public","periscope_events","write_key_event_id","periscope_event_destinations_write_key_event_id_fkey"
"public","periscope_event_destinations","advertising_connection_id","public","advertising_connections","connection_id","periscope_event_destinations_advertising_connection_id_fkey"
"public","periscope_events","event_id","public","events","event_id","periscope_write_key_events_event_id_fkey"
"public","product_cogs_settings","client_id","public","clients","client_id","product_cogs_settings_client_id_fkey"
"public","product_cogs_settings","write_key","public","write_keys","write_key","product_cogs_settings_write_key_fkey"
"public","product_cogs_settings","created_by_user_id","public","users","user_id","product_cogs_settings_created_by_user_id_fkey"
"public","product_cogs_settings","updated_by_user_id","public","users","user_id","product_cogs_settings_updated_by_user_id_fkey"
"public","products","write_key","public","write_keys","write_key","products_write_key_fkey"
"public","products","client_id","public","clients","client_id","products_client_id_fkey"
"public","report_subscriptions","user_id","public","users","user_id","report_subscriptions_user_id_fkey"
"public","shipping_profiles","client_id","public","clients","client_id","shipping_profiles_client_id_fkey"
"public","shipping_profiles","updated_by_user_id","public","users","user_id","shipping_profiles_updated_by_user_id_fkey"
"public","shipping_profiles","created_by_user_id","public","users","user_id","shipping_profiles_created_by_user_id_fkey"
"public","shipping_profiles","write_key","public","write_keys","write_key","shipping_profiles_write_key_fkey"
"public","store_cogs_settings","client_id","public","clients","client_id","store_cogs_settings_client_id_fkey"
"public","store_cogs_settings","write_key","public","write_keys","write_key","store_cogs_settings_write_key_fkey"
"public","store_cogs_settings","created_by_user_id","public","users","user_id","store_cogs_settings_created_by_user_id_fkey"
"public","store_cogs_settings","updated_by_user_id","public","users","user_id","store_cogs_settings_updated_by_user_id_fkey"
"public","traffic_rules","client_id","public","clients","client_id","traffic_rules_client_id_fkey"
"public","traffic_rules","updated_by_user_id","public","users","user_id","traffic_rules_updated_by_user_id_fkey"
"public","traffic_rules","created_by_user_id","public","users","user_id","traffic_rules_created_by_user_id_fkey"
"public","traffic_rules","write_key","public","write_keys","write_key","traffic_rules_write_key_fkey"
"public","user_credentials","user_id","public","users","user_id","fk_user_id"
"public","user_credentials","created_by_user_id","public","users","user_id","fk_created_by_user_id"
"public","variable_expenses","created_by_user_id","public","users","user_id","variable_expenses_created_by_user_id_fkey"
"public","variable_expenses","category_id","public","expense_categories","category_id","variable_expenses_category_id_fkey"
"public","variable_expenses","write_key","public","write_keys","write_key","variable_expenses_write_key_fkey"
"public","variable_expenses","client_id","public","clients","client_id","variable_expenses_client_id_fkey"
"public","variable_expenses","updated_by_user_id","public","users","user_id","variable_expenses_updated_by_user_id_fkey"
"public","write_keys","client_id","public","clients","client_id","fk_writekeys_client"
